tür;kalem;toplam adet;tanım / ürün;not / ölçü
SATIN ALMA;Ayarlı ayak Elesa+Ganter LV.A-SST · M12;6;paslanmaz AISI 304 · taban Ø40;elesa-ganter.com LV.A-SST
SATIN ALMA;DC motor sürücü Electromen EM-324C + DIN taban;1;10–35 V · 4 A · akım sınırı · NPN/PNP;72 genişlik taban [yükseklik/derinlik VARSAYIM]
SATIN ALMA;DIN ray TS35 × 7,5;1;;
SATIN ALMA;Fan ebm-papst 4414 FNH;3;24 V · 119 × 119 × 25;evaporatör önünde, havayı kolon içine basar
SATIN ALMA;Fitil · geçmeli manyetik profil 21 × 18,5;23;PVC + şerit mıknatıs · kapak iç sacının 6,4'lük kanalına geçer · aletsiz sökülür;çevre 1404 mm · köşeler gönye kaynaklı
SATIN ALMA;GN 1/1-150 kap;2;304 · EN 631;kaşar blok / sucuk (içerik VARSAYIM)
SATIN ALMA;GT3 avara 30 diş · 6 mm · çift rulman;21;alüminyum · 2 × 625-2RS;ön çerçevenin 17 mm arkası
SATIN ALMA;GT3 kasnak 30 diş · 6 mm · flanşlı;21;alüminyum · delik Ø8 H7 + düz;PD 28,65 · çevre 90 mm
SATIN ALMA;Güç kaynağı Mean Well NDR-240-24;1;24 V 10 A · DIN;63 × 125,2 × 113,5
SATIN ALMA;Kablo kanalı 40 × 25;4;PVC perfore + kapak;dikey her kolonda + üstte yatay
SATIN ALMA;Kayış GT3 6 mm kapalı çevrim;21;~1482 mm (494 diş) · çelik kordlu;tedarikçi boyu doğrulayacak
SATIN ALMA;Klemens bloğu;1;Phoenix UT 2,5 · 21 motor + 42 sensör + güç;kalan genişlik
SATIN ALMA;M12 4 pin soket + kablo;21;motor + enkoder tek soket · kasada sabit;kablo dikey kanala
SATIN ALMA;Motor Transmotec PD3665-24-51-BFEC;21;24 V · planet 51:1 · 127 d/dk · 0,853 N·m · manyetik enkoder · EMC filtreli;Ø36 × 115,5 + enkoder · datasheet: transmotec.com PD3665
SATIN ALMA;Mıknatıs Littelfuse 57135-000;21;AlNiCo 5 · flanşlı 28,57 × 19,05 × 6,35;çenenin üstünde
SATIN ALMA;PLC Siemens S7-1200 CPU 1214C DC/DC/DC;1;6ES7214-1AG40-0XB0 · 14 DI · 10 DQ · PROFINET/Modbus TCP;110 × 100 × 75
SATIN ALMA;PLC genişleme SM1221 DI16;1;6ES7221-1BH32-0XB0;45 × 100 × 75 · 42 reed + 21 röle
SATIN ALMA;PLC genişleme SM1222 DQ16;1;6ES7222-1BH32-0XB0;45 × 100 × 75 · 42 reed + 21 röle
SATIN ALMA;Reed sensör Littelfuse 59135-010;42;NO · flanşlı 28,57 × 19,05 × 6,35;KAPALI + AÇIK konum · PLC girişine
SATIN ALMA;Seçici röle Phoenix Contact PLC-RSC-24DC/21;21;6,2 mm · 1 değiştirici · 24 V bobin;hangi çekmecenin motoru sürücüye bağlanacak [boyut VARSAYIM]
SATIN ALMA;Teleskopik ray Accuride DZ3832-0070;42;700 · tam çekilir · 45,7 × 12,7 · 45–50 kg (çift);kolon yan duvarına 4 × M5
SATIN ALMA;Temizlik bidonu 5 L;2;deterjan / dezenfektan;
SATIN ALMA;Yoğuşturucu ünite Secop CU KLF4.0CND R290;1;314H6008 · 335 W @ −10/25 °C · 1/6 HP · 15,2 kg;272 × 350 × 450 · secop.com datasheet
ÜRETİM;Avara kolu 3 mm;21;304 büküm · ön çerçevenin arkasına 2 × M4 perçin somun;kayış gergisi burada: 8 mm yuvalı
ÜRETİM;Evaporatör roll-bond levha;3;alüminyum 1,5 + kanal · ölçüye üretim;arka duvara yapışık · 310 × 530..650
ÜRETİM;Kayış çenesi + kolu;21;304 · kutunun yan duvarına kaynaklı · dişli çene 2 × M3;kutunun arkasından kasnağa uzanır (strok için)
ÜRETİM;Motor braketi 3 mm;21;304 lazer + büküm · 4 × M3 (Ø31) + arka duvara 2 × M5;kasnak hizası buradan
ÜRETİM;PU köpük gövde;1;40 kg/m³ enjeksiyon · sac kabuk içine;yan 27,5 · tavan 57,5 · arka 37,5 · taban 39
ÜRETİM;Pano montaj plakası 2 mm;1;galvaniz;
ÜRETİM;Plint ön sacı;1;304 1,5 · 60 geride;
ÜRETİM;Ray adaptör lamı 6 mm;42;304 lama · kutuya punta;ray iç profiline 4 × M4
ÜRETİM;Tavan dış sacı;1;304 1,5 · A ve C bunun üstüne oturur;
ÜRETİM;Tepsi · 20 çukur Ø100;8;gıda silikonu 10 mm · çukur 7 · kalıp döküm;530 × 520
ÜRETİM;Tepsi · 36 çukur Ø80;12;gıda silikonu 10 mm · çukur 7 · kalıp döküm;530 × 540
ÜRETİM;Yan dış sac 1,5;2;304 lazer + büküm;
ÜRETİM;Yoğuşturucu bölmesi kapağı;1;304 1,5 · yalıtımsız · ızgaralı hava penceresi;hava önden girer, tabandan plinte çıkar
ÜRETİM;Yoğuşturucu hava çıkış kovanı;1;304 1,0 · PU'yu kapatır;sıcak hava plinte
ÜRETİM;ara raf 1.5;1;304 sac · lazer + büküm;zarf 558.0 × 1.5 × 658.0
ÜRETİM;arka dis sac;1;304 sac · lazer + büküm;zarf 2497.0 × 977.0 × 1.5
ÜRETİM;arka ic sac;1;304 sac · lazer + büküm;zarf 2440.0 × 878.5 × 1.0
ÜRETİM;avara mili;21;304 · lazer / lama;zarf 12.2 × 5.0 × 5.0
ÜRETİM;bolme 0 sac;2;304 sac · lazer + büküm;zarf 1.0 × 878.5 × 734.0
ÜRETİM;bolme 1 sac;2;304 sac · lazer + büküm;zarf 1.0 × 878.5 × 734.0
ÜRETİM;bolme 2 sac;2;304 sac · lazer + büküm;zarf 1.0 × 878.5 × 734.0
ÜRETİM;hizalama saci;2;304 sac · lazer + büküm;zarf 554.0 × 1.5 × 641.0
ÜRETİM;k1 teknik kapak dis sac 1.5;1;304 sac · lazer + büküm;zarf 650.0 × 181.5 × 40.0
ÜRETİM;k1 teknik raf sac alt;1;304 sac · lazer + büküm;zarf 620.0 × 1.0 × 734.0
ÜRETİM;k1 teknik raf sac ust;1;304 sac · lazer + büküm;zarf 620.0 × 1.0 × 734.0
ÜRETİM;k2 ust panel dis sac 1.5;1;304 sac · lazer + büküm;zarf 650.0 × 55.5 × 40.0
ÜRETİM;k4 ara sac alt;1;304 sac · lazer + büküm;zarf 400.0 × 1.0 × 734.0
ÜRETİM;k4 ara sac ust;1;304 sac · lazer + büküm;zarf 400.0 × 1.0 × 734.0
ÜRETİM;k4 depo raf;1;304 sac · lazer + büküm;zarf 400.0 × 1.5 × 734.0
ÜRETİM;k4 izgara;14;304 lama;zarf 360.0 × 8.0 × 1.5
ÜRETİM;k4 kapak depo dis sac 1.5;1;304 sac · lazer + büküm;zarf 430.0 × 316.0 × 40.0
ÜRETİM;k4 kapak nis dis sac 1.5;1;304 sac · lazer + büküm;zarf 430.0 × 257.5 × 40.0
ÜRETİM;k4 nis raf;1;304 sac · lazer + büküm;zarf 400.0 × 1.5 × 734.0
ÜRETİM;miknatis ayagi;21;304 · lazer / lama;zarf 6.3 × 2.3 × 28.6
ÜRETİM;sensor lami;21;304 · lazer / lama;zarf 6.3 × 2.0 × 705.0
ÜRETİM;taban dis sac;1;304 sac · lazer + büküm;zarf 2497.0 × 1.5 × 830.0
ÜRETİM;taban ic sac;1;304 sac · lazer + büküm;zarf 2440.0 × 1.0 × 788.5
ÜRETİM;taban on donus;1;304 sac · lazer + büküm;zarf 2440.0 × 40.0 × 1.5
ÜRETİM;tavan ic sac;1;304 sac · lazer + büküm;zarf 2440.0 × 1.0 × 788.5
