parça (model adı);kalem;adet;tanım / ürün;not / ölçü;birim;tür
plint_on_1.5;Plint ön sacı;1;304 1,5 · 60 geride;;B_KASA;ÜRETİM
ayak_0;Ayarlı ayak Elesa+Ganter LV.A-SST · M12;6;paslanmaz AISI 304 · taban Ø40 · yükseklik 123 (v4);elesa-ganter.com LV.A-SST · 123'e uygun diş boyu katalogdan seçilecek;B_KASA;SATIN ALMA
ayak_1;ayak;0;304 · lazer / lama;alt gövde → Elesa LV.A-SST;B_KASA;ALT
ayak_2;ayak;0;304 · lazer / lama;alt gövde → Elesa LV.A-SST;B_KASA;ALT
ayak_3;ayak;0;304 · lazer / lama;alt gövde → Elesa LV.A-SST;B_KASA;ALT
ayak_4;ayak;0;304 · lazer / lama;alt gövde → Elesa LV.A-SST;B_KASA;ALT
ayak_5;ayak;0;304 · lazer / lama;alt gövde → Elesa LV.A-SST;B_KASA;ALT
yan_dis_sac_sol;Yan dış sac 1,5;2;304 lazer + büküm · ön kenar kapak arkasında (z −40);;B_KASA;ÜRETİM
yan_pu_sol;yan pu;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → PU köpük gövde;B_KASA;ALT
yan_ic_sac_sol;yan ic sac;1;304 sac · lazer + büküm;zarf 1.0 × 835.5 × 748.5;B_KASA;ÜRETİM
yan_on_donus_sol;yan on donus;1;304 sac · lazer + büküm;zarf 28.5 × 934.0 × 1.5;B_KASA;ÜRETİM
yan_dis_sac_sag;yan dis sac;0;304 sac · lazer + büküm;alt gövde → Yan dış sac 1,5 (× 2);B_KASA;ALT
yan_pu_sag;yan pu;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → PU köpük gövde;B_KASA;ALT
yan_ic_sac_sag;yan ic sac;1;304 sac · lazer + büküm;zarf 1.0 × 875.5 × 748.5;B_KASA;ÜRETİM
yan_on_donus_sag;yan on donus;1;304 sac · lazer + büküm;zarf 28.5 × 934.0 × 1.5;B_KASA;ÜRETİM
tavan_dis_sac;Tavan dış sacı;1;304 1,5 · A ve C bunun üstüne oturur;;B_KASA;ÜRETİM
tavan_pu_57.5;PU köpük gövde;1;40 kg/m³ enjeksiyon · sac kabuk içine;yan 27,5 · tavan 57,5 · arka 37,5 · taban 39;B_KASA;ÜRETİM
tavan_ic_sac;tavan ic sac;1;304 sac · lazer + büküm;zarf 2440.0 × 1.0 × 748.5;B_KASA;ÜRETİM
tavan_on_donus;tavan on donus;1;304 sac · lazer + büküm;zarf 2440.0 × 58.5 × 1.5;B_KASA;ÜRETİM
taban_dis_sac;taban dis sac;1;304 sac · lazer + büküm;zarf 2497.0 × 1.5 × 790.0;B_KASA;ÜRETİM
taban_pu;taban pu;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → PU köpük gövde;B_KASA;ALT
taban_ic_sac;taban ic sac;1;304 sac · lazer + büküm;zarf 1996.5 × 1.0 × 748.5;B_KASA;ÜRETİM
taban_k4_kademe_saci;Taban kademe sacı 1,0;1;304 · yalıtımlı tabanın K4 tarafındaki ucunu kapatır;v4: K4 sıcak bölmesi 40 mm alçak;B_KASA;ÜRETİM
taban_on_donus;taban on donus;1;304 sac · lazer + büküm;zarf 2440.0 × 40.0 × 1.5;B_KASA;ÜRETİM
arka_dis_sac;arka dis sac;1;304 sac · lazer + büküm;zarf 2497.0 × 934.0 × 1.5;B_KASA;ÜRETİM
arka_pu_37.5;arka pu 37.5;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → PU köpük gövde;B_KASA;ALT
arka_ic_sac;arka ic sac;1;304 sac · lazer + büküm;zarf 2440.0 × 835.5 × 1.0;B_KASA;ÜRETİM
arka_pu_k4_alt;arka pu k4 alt;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → PU köpük gövde;B_KASA;ALT
arka_ic_sac_k4_alt;arka ic sac k4 alt;1;304 sac · lazer + büküm;zarf 442.5 × 40.0 × 1.0;B_KASA;ÜRETİM
bolme_0_sac_a;bolme 0 sac;1;304 sac · lazer + büküm;zarf 1.0 × 835.5 × 734.0;B_KASA;ÜRETİM
bolme_0_pu;bolme 0 pu;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → PU köpük gövde;B_KASA;ALT
bolme_0_sac_b;bolme 0 sac;1;304 sac · lazer + büküm;zarf 1.0 × 835.5 × 734.0;B_KASA;ÜRETİM
bolme_1_sac_a;bolme 1 sac;1;304 sac · lazer + büküm;zarf 1.0 × 835.5 × 734.0;B_KASA;ÜRETİM
bolme_1_pu;bolme 1 pu;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → PU köpük gövde;B_KASA;ALT
bolme_1_sac_b;bolme 1 sac;1;304 sac · lazer + büküm;zarf 1.0 × 835.5 × 734.0;B_KASA;ÜRETİM
bolme_2_sac_a;bolme 2 sac;1;304 sac · lazer + büküm;zarf 1.0 × 835.5 × 734.0;B_KASA;ÜRETİM
bolme_2_pu;bolme 2 pu;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → PU köpük gövde;B_KASA;ALT
bolme_2_sac_b;bolme 2 sac;1;304 sac · lazer + büküm;zarf 1.0 × 835.5 × 734.0;B_KASA;ÜRETİM
kablo_kanali_K1;Kablo kanalı 40 × 25;5;PVC perfore + kapak;dikey her kolonda + üstte yatay;B_KABLO;SATIN ALMA
kablo_kanali_K2;kablo kanali K2;0;PVC;alt gövde → kablo kanalı;B_KABLO;ALT
kablo_kanali_K3;kablo kanali K3;0;PVC;alt gövde → kablo kanalı;B_KABLO;ALT
kablo_kanali_K4;kablo kanali K4;0;PVC;alt gövde → kablo kanalı;B_KABLO;ALT
kablo_kanali_ust;kablo kanali ust;0;PVC;alt gövde → kablo kanalı;B_KABLO;ALT
evaporator_K1;Evaporatör roll-bond levha;4;alüminyum 1,5 + kanal · ölçüye üretim;arka duvara yapışık · K1–K3 310 × 650 · K4 140 × 260;B_SOGUTMA;ÜRETİM
fan_K1;Fan ebm-papst 4414 FNH;4;24 V · 119 × 119 × 25;evaporatör önünde, havayı kolon içine basar;B_SOGUTMA;SATIN ALMA
evaporator_K2;evaporator K2;0;alüminyum;alt gövde → roll-bond evaporatör;B_SOGUTMA;ALT
fan_K2;fan K2;0;;alt gövde → ebm-papst 4414 FNH;B_SOGUTMA;ALT
evaporator_K3;evaporator K3;0;alüminyum;alt gövde → roll-bond evaporatör;B_SOGUTMA;ALT
fan_K3;fan K3;0;;alt gövde → ebm-papst 4414 FNH;B_SOGUTMA;ALT
evaporator_K4;evaporator K4;0;alüminyum;alt gövde → roll-bond evaporatör;B_SOGUTMA;ALT
fan_K4;fan K4;0;;alt gövde → ebm-papst 4414 FNH;B_SOGUTMA;ALT
sogutma_grubu_taban;Yoğuşturucu ünite Secop CU KLF4.0CND R290;1;314H6008 · 335 W @ −10/25 °C · 1/6 HP · 15,2 kg;272 × 350 × 450 · secop.com datasheet;B_SOGUTMA;SATIN ALMA
sogutma_grubu_kondenser;sogutma grubu kondenser;0;;alt gövde → Secop CU KLF4.0CND;B_SOGUTMA;ALT
sogutma_grubu_fan;sogutma grubu fan;0;;alt gövde → Secop CU KLF4.0CND;B_SOGUTMA;ALT
sogutma_grubu_kompresor;sogutma grubu kompresor;0;;alt gövde → Secop CU KLF4.0CND;B_SOGUTMA;ALT
k4_ara_sac_alt;k4 ara sac alt;1;304 sac · lazer + büküm;zarf 400.0 × 1.0 × 734.0;B_SOGUTMA;ÜRETİM
k4_ara_pu;k4 ara pu;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → PU köpük gövde;B_SOGUTMA;ALT
k4_ara_sac_ust;k4 ara sac ust;1;304 sac · lazer + büküm;zarf 400.0 × 1.0 × 734.0;B_SOGUTMA;ÜRETİM
k4_ara_perde;Ara sac perde 1,0;1;304 · Secop ile pano arasında;yoğuşturucu havası panoya gelmez;B_SOGUTMA;ÜRETİM
pano_montaj_plakasi;Pano montaj plakası 2 mm;1;galvaniz;K4 · Secop'un arkasında;B_ELEKTRIK;ÜRETİM
din_ray_0;DIN ray TS35 × 7,5;2;;;B_ELEKTRIK;SATIN ALMA
din_ray_1;din ray;0;304 · lazer / lama;alt gövde → DIN ray;B_ELEKTRIK;ALT
plc_S7-1200_1214C;PLC Siemens S7-1200 CPU 1214C DC/DC/DC;1;6ES7214-1AG40-0XB0 · 14 DI · 10 DQ · PROFINET/Modbus TCP;110 × 100 × 75;B_ELEKTRIK;SATIN ALMA
plc_SM1221_DI16_a;PLC genişleme SM1221 DI16;1;6ES7221-1BH32-0XB0;45 × 100 × 75 · 50 reed + 25 röle;B_ELEKTRIK;SATIN ALMA
plc_SM1221_DI16_b;PLC genişleme SM1221 DI16;0;6ES7221-1BH32-0XB0;alt gövde → SM1221;B_ELEKTRIK;ALT
plc_SM1222_DQ16;PLC genişleme SM1222 DQ16;1;6ES7222-1BH32-0XB0;45 × 100 × 75 · 50 reed + 25 röle;B_ELEKTRIK;SATIN ALMA
guc_kaynagi_NDR-240-24;Güç kaynağı Mean Well NDR-240-24;1;24 V 10 A · DIN;63 × 125,2 × 113,5;B_ELEKTRIK;SATIN ALMA
