dosya;parça;adet;malzeme · yöntem;görevi;zarf mm;hacim cm3
govde;Gövde · kadeh kesit;1;PC 3 mm ısıl form · ya da 304 sac 1 mm (kanal 1,4 olur) · ya da baskı;iki plakanın 4 mm kanalına oturur;140 × 331 × 317;686.5
plaka_arka;Arka uç plakası;1;PC / POM / HDPE 8 mm · CNC freze;kanal 3,4 × 4 · 2 yatak Ø22,4 · 4 saplama Ø6,5 · 2 konum pimi Ø10,2;140 × 352 × 8;372.2
plaka_on;Ön uç plakası;1;PC / POM / HDPE 8 mm · CNC freze;kanal · tüp geçişi Ø72 + fatura Ø78,4 × 3 · yatak Ø22,4 · 2 × M4;140 × 352 × 8;341.8
saplama_0;Saplama M6 × 343 (alt);2;A2 paslanmaz · gijon;"plakaları gövdeye sıkar; üsttekiler dolum çizgisinin üstünde";6 × 6 × 343;9.7
somun_arka_0;Kör somun M6 + pul;6;A2 paslanmaz · DIN 1587;arka 4 + ön alt 2;12 × 10 × 9;0.5
saplama_2;Saplama M6 × 348 (üst · kulpa girer);2;A2 paslanmaz · gijon;"plakaları gövdeye sıkar; üsttekiler dolum çizgisinin üstünde";6 × 6 × 348;9.8
kulp;Boru kulp 96 mm · M6 dişi;1;paslanmaz · standart;üst iki saplamanın ön ucuna vidalanır · kabı yuvadan çekmek için;108 × 12 × 48;16.7
helezon_A;Helezon segmenti A;1;DENEME: PETG / PA12 baskı, kanat 4 mm · ÜRETİM: POM-C talaşlı (çiğ et teması);hatve 40.00 → 43.23 · arkada 60 mm KONİK KÖK Ø28 → Ø16 · boy 97 mm · kare delik 8,3;72 × 72 × 101;53.8
helezon_B;Helezon segmenti B;1;DENEME: PETG / PA12 baskı, kanat 4 mm · ÜRETİM: POM-C talaşlı (çiğ et teması);hatve 43.23 → 46.71 · boy 101 mm · kare delik 8,3;69 × 69 × 106;43.9
helezon_C;Helezon segmenti C;1;DENEME: PETG / PA12 baskı, kanat 4 mm · ÜRETİM: POM-C talaşlı (çiğ et teması);hatve 46.71 → 50.48 · boy 109 mm · kare delik 8,3;69 × 69 × 114;44.9
helezon_D;Helezon segmenti D;1;DENEME: PETG / PA12 baskı, kanat 4 mm · ÜRETİM: POM-C talaşlı (çiğ et teması);tüp içinde kanat ağızdan 18 mm ÖNCE biter (yatak tıkaç olarak itilir) · ağız üstünde çıplak mil · ön muylu Ø12 · boy 97 mm · kare delik 8,3;42 × 42 × 100;16.9
helezon_cekirdek;Kare çubuk 8 × 8 × 394;1;AISI 304 · yalnız boya kesilir;torku segmentlere taşır, mili sertleştirir;8 × 8 × 394;25.2
gobek_helezon;Tahrik göbeği;2;POM torna ya da baskı;içeriden takılır: flanş Ø32 + muylu Ø22 + kare yuva 8,3 × 12;32 × 32 × 23;6.8
kavrama_helezon;Haç kavrama;2;POM ya da baskı;arkadan göbeğin kare başına geçer · makinedeki yaylı yuvaya oturur;36 × 36 × 18;8.6
yayli_pim_helezon;Yaylı pim Ø4 × 26;2;A2 · ISO 8752;kavramayı göbeğe kilitler;26 × 4 × 4;0.3
cikis_tupu;Çıkış tüpü + eşik;1;PC / PETG şeffaf · baskı ya da torna + freze;iç Ø72 · ön plakaya faturalı + 2 × M4 · kapalı bölümde 6 mm EŞİK (et suyunu tutar, akışı sürekli yapar) · alt ağız 48 × 44 · 3 bayonet pimi;110 × 99 × 87;77.7
vida_tup_a;Vida M4 × 12 silindir başlı;2;A2 · DIN 912;tüp flanşını ön plakaya bağlar;7 × 7 × 13;0.2
yatak_kapagi;Yatak kapağı (bayonet);1;POM / PETG baskı;çeyrek tur · ön muyluyu Ø12,4 yatakta taşır · sökünce helezon öne çekilir;86 × 86 × 30;60.4
tasima_tapasi;Taşıma tapası;1;TPU 95A baskı;kap makine dışındayken ağız bileziğine takılır · makineye sürmeden çıkarılır;75 × 10 × 55;10.8
kar_mil;Kare çubuk 8 × 8 × 368;1;AISI 304;rotor mili · öne çekilip çıkarılır;8 × 8 × 368;23.6
orumcek_arka;Rotor göbeği · 2 kollu;3;DENEME: PETG / PA12 baskı · ÜRETİM: POM-C ya da kaynaklı 304;2 kol: lamaları r 57'de 20° eğik tutar · kare delik 8,3;120 × 28 × 18;26.8
cubuk_0;Sıyırıcı lama 15 × 3 × 292;2;AISI 304 lama · kenarları kırık;çentiklere sıkı geçer · duvara 2,4 mm (küp giremez) · kanada 18 mm (küp sıkışmaz) · köprüyü bozar;15 × 8 × 292;13.1
on_kovan;Ön kovan;1;POM / baskı;içeriden takılır · plakada döner · mil içinden kayar · teğet pim deliği · KAŞAR KABIYLA ORTAK;32 × 32 × 25;8.8
topuz;Topuz;1;POM / baskı;kare mile M4 setuskurla sabit · eteği kovanın üstüne geçer;36 × 36 × 55;47.8
setuskur;Setuskur M4 × 6;1;A2 · DIN 913;topuzu mile sabitler;4 × 6 × 4;0.1
kilit_pimi;Halkalı kilit pimi Ø4 × 44;1;A2 · standart;topuz eteği + kovandan TEĞET geçer (mili delmeden) · çekince mil öne çıkar;61 × 18 × 4;0.7
kapak;Kapak;1;PC 4 mm + 2 kılavuz çıta (baskı / yapıştırma);çıtalar gövde ağzına oturur · 2 parmak deliği Ø22;140 × 10 × 325;185.7
