parça (model adı);kalem;adet;tanım / ürün;not / kaynak;tür
ayak_0;Ayarlı ayak Elesa+Ganter LV.A-SST · M12;4;paslanmaz · taban Ø40;elesa-ganter.com LV.A-SST;SATIN ALMA
ayak_1;ayak 1;0;;aynı kalemin eşi ya da üretim parçası · zarf 40 × 123 × 40;ALT
ayak_2;ayak 2;0;;aynı kalemin eşi ya da üretim parçası · zarf 40 × 123 × 40;ALT
ayak_3;ayak 3;0;;aynı kalemin eşi ya da üretim parçası · zarf 40 × 123 × 40;ALT
taban_sac_3;taban sac 3;0;;aynı kalemin eşi ya da üretim parçası · zarf 597 × 3 × 827;ALT
plint_on;plint on;0;;aynı kalemin eşi ya da üretim parçası · zarf 540 × 113 × 2;ALT
istasyon_tabani_3;istasyon tabani 3;0;;aynı kalemin eşi ya da üretim parçası · zarf 597 × 3 × 827;ALT
arka_sac;arka sac;0;;aynı kalemin eşi ya da üretim parçası · zarf 600 × 1907 × 2;ALT
ust_sac;ust sac;0;;aynı kalemin eşi ya da üretim parçası · zarf 600 × 2 × 829;ALT
sol_sac_urun_girisi;sol sac urun girisi;0;;aynı kalemin eşi ya da üretim parçası · zarf 2 × 1906 × 829;ALT
sag_sac_E_penceresi;sag sac E penceresi;0;;aynı kalemin eşi ya da üretim parçası · zarf 2 × 1906 × 829;ALT
kose_dikmesi_0;Kare profil 30 × 30 × 2 AISI 304;4;boy 1900;lazer + kaynak;ÜRETİM
kose_dikmesi_1;kose dikmesi 1;0;;aynı kalemin eşi ya da üretim parçası · zarf 30 × 1903 × 30;ALT
kose_dikmesi_2;kose dikmesi 2;0;;aynı kalemin eşi ya da üretim parçası · zarf 30 × 1903 × 30;ALT
kose_dikmesi_3;kose dikmesi 3;0;;aynı kalemin eşi ya da üretim parçası · zarf 30 × 1903 × 30;ALT
taban_kapisi;taban kapisi;0;;aynı kalemin eşi ya da üretim parçası · zarf 597 × 931 × 2;ALT
taban_kapisi_kulp;taban kapisi kulp;0;;aynı kalemin eşi ya da üretim parçası · zarf 20 × 140 × 22;ALT
ust_kapi_cercevesi;ust kapi cercevesi;0;;aynı kalemin eşi ya da üretim parçası · zarf 597 × 966 × 2;ALT
