tür;kalem;toplam adet;tanım / ürün;not / kaynak
SATIN ALMA;Acil stop butonu Ø40 (IEC 60947-5-5);1;ön yüzde;[V]
SATIN ALMA;Avara rulo Ø30 paslanmaz (gergi cıvatalı);1;boy 404;[V] katalog
SATIN ALMA;Ayarlı ayak Elesa+Ganter LV.A-SST · M12;4;paslanmaz · taban Ø40;elesa-ganter.com LV.A-SST
SATIN ALMA;DIN ray 35 × 7,5;2;boy 255;EN 60715
SATIN ALMA;Dişli kayışlı lineer eksen igus drylin ZLW-1040 (yağsız, gıdaya yakın);1;strok 365 · profil 575;igus.com ZLW-1040 [V: ölçüler katalogdan teyit]
SATIN ALMA;Elektrikli sprey nozülü Spraying Systems PulsaJet AA10000AUH-104210 (gıda: FDA + EC 1935/2004);1;24 VDC 0,36 A · PWM · sıvı ≤ 93 °C · 7 bar;spray.com katalog 76A · vaka E4058 (tereyağı) · gövde ölçüsü [V]
SATIN ALMA;Emniyet rölesi Pilz PNOZ s3;1;kapı kilidi + acil stop;[V] pilz.com
SATIN ALMA;Endüktif sensör Omron E2E-X2D1-N;1;M8 · 2 mm · DC 2 telli;omron.com E2E · katalog ölçüsü
SATIN ALMA;Fotosel Omron E3Z-D62 (dağınık yansımalı);2;ürün merkezde · bant sonu;omron.com E3Z
SATIN ALMA;Güç kaynağı Mean Well NDR-240-24;1;24 V 10 A · PLC, RollerDrive, sensör, ısıtıcılar;TraceParts STEP
SATIN ALMA;Güç kaynağı Mean Well NDR-240-48;1;48 V · step sürücü;NDR-240 gövdesi
SATIN ALMA;Gıda PU bant 2 mm homojen, beyaz (FDA / EU 10-2011), sonsuz birleştirilmiş;1;400 × ≈1150;[V] Ammeraal / Habasit sınıfı · kesim yüzeyi
SATIN ALMA;Hava regülatörü + manometre 0–4 bar (tank basıncı);1;;[V] Festo MS2-LR sınıfı
SATIN ALMA;Interroll RollerDrive EC5000 AI 24 V Ø50 (motor rulonun içinde, IP66);1;boy 404 · kaplamalı;interroll.com EC5000 [V: kaplama + IP teyidi]
SATIN ALMA;Isıtmalı basınçlı tereyağı tankı 3 L AISI 316 (ceketli, kapaklı, seviye sensörlü);1;Ø160 × 280 · 1,5 bar hava · 45 °C;[V] Spraying Systems basınçlı tank sınıfı · 2 gün = 1,41 L (hesap)
SATIN ALMA;Isıtmalı gıda hortumu Ø6 iç · 24 V · 45 °C;1;≈ 2,6 m · kafaya yaylı sarımla;[V]
SATIN ALMA;Kablo kanalı 40 × 25;3;;katalog
SATIN ALMA;Kapı kilitli emniyet anahtarı Schmersal AZM 40 sınıfı;1;kapı açılınca kesici + itici durur;[V] schmersal.com
SATIN ALMA;Kelebek somun M8 paslanmaz (bıçak seti aletsiz sökülür);3;DIN 315;katalog
SATIN ALMA;Klemens sırası Phoenix UT 2,5;24;;phoenixcontact.com
SATIN ALMA;Kılavuzlu kompakt silindir SMC MGPM20-60Z;1;Ø20 · strok 60 · itici kaldırma;smcworld MGP [V: gövde ölçüsü]
SATIN ALMA;Kılavuzlu silindir Festo DGRF-C-63-125 (Clean Design, paslanmaz kılavuz milleri);1;Ø63 · strok 125 · 6 bar'da 1870 N itme;festo DGRF-C veri sayfası (almotion.nl) · gövde ölçüsü [V]
SATIN ALMA;Nozül gövdesi UniJet + TG tam koni uç 90° (çek valfli: damlatmaz);1;yıldızın göbeğinde, pideden 150 mm;portal.spray.com TG · uç uyumu Spraying Systems'e teyit [V]
SATIN ALMA;PLC Siemens S7-1200 CPU 1214C DC/DC/DC;1;6ES7214-1AG40-0XB0 · bant, kesici, itici, sprey;110 × 100 × 75
SATIN ALMA;PU hava hortumu Ø10 · kompresör hattından T ile;1;≈ 1 m;katalog
SATIN ALMA;Polikarbonat 4 mm (gıdaya uygun, şeffaf);1;480 × 810;kesim
SATIN ALMA;PulsaJet PWM sürücüsü (tek nozül);1;PLC'den tetik · doz = süre × debi;[V] Spraying Systems PWMD
SATIN ALMA;Seviye sensörü (kapasitif, gıda);1;2 gün kala uyarır;[V]
SATIN ALMA;Siemens SM1222 DQ16;1;6ES7222-1BH32-0XB0;45 × 100 × 75
SATIN ALMA;Silikon ısıtıcı ceket 24 V 20 W + termostat (nozülde tereyağı donmasın);1;45 °C;[V]
SATIN ALMA;Silindir sensörü Festo SMT-8M (üst / alt);2;;[V] festo.com
SATIN ALMA;Step motor AutomationDirect SureStep STP-MTR-23079;1;NEMA 23 · 1,95 N·m (276 oz-in) · 2,8 A;automationdirect.com STP-MTR-23079 · TraceParts STEP
SATIN ALMA;Step sürücü AutomationDirect SureStep STP-DRV-4830;1;itici ekseni;automationdirect.com · TraceParts STEP
SATIN ALMA;Sıcaklık kontrolcüsü DIN (tank + hortum + nozül);2;PT100 · 45 °C;[V]
SATIN ALMA;Tank ısıtıcı ceketi 100 W + PT100;1;"45 °C (32–35 °C'de tamamen sıvı; aşırı ısıda yağ ayrışır)";[V] · vaka E4058 uyarısı
SATIN ALMA;Valf adası Festo VUVG-L10 · 4 × 5/2 (kesici · itici kaldırma · tank basıncı · yedek);1;24 V;[V] festo.com VUVG
SATIN ALMA;İçecek kolisi 24 × 330 ml (soğutmasız yedek);5;400 × 267 × 123;[V] koli ölçüsü
SATIN ALMA;Şartlandırıcı Festo MS4-LFR (filtre + regülatör + manometre);1;6 bar;[V] festo.com MS4
ÜRETİM;Ara dikme Ø16 × 50 paslanmaz (M8);3;;üretim
ÜRETİM;Bant ayağı 30 × 24 lama;4;;üretim
ÜRETİM;Bant yan levhası 3 mm AISI 304 (lazer + büküm);2;580 × 62;üretim
ÜRETİM;Bıçak koruma + sprey perdesi halkası Ø316 × 37 (1,5 mm 304);1;;üretim
ÜRETİM;Kafa plakası Ø230 × 8 AISI 304;1;;lazer + CNC
ÜRETİM;Kare profil 30 × 30 × 2 AISI 304;4;boy 1900;lazer + kaynak
ÜRETİM;Kare profil 40 × 40 × 2 AISI 304 (köprü);2;boy 595;üretim
ÜRETİM;Kayma tablası 6 mm AISI 304 (kesim yükünü taşır);1;483 × 396;üretim
ÜRETİM;Kutu profil 40 × 20 × 2 AISI 304;2;boy 404;üretim
ÜRETİM;Kılavuz çit: 304 lama 3 mm + UHMW yüz (gıda);1;20° + düz · 20 yüksek;üretim
ÜRETİM;Yıldız bıçak seti 6 dilim Ø296 (sertleştirilmiş paslanmaz, bulaşık makinesinde yıkanır);1;6 × 133 × 45 × 1,5 · göbek Ø40;Q-T-S PC1018 / PC5000 bıçak seti sınıfı (q-t-s.com) [V: ölçü bize göre]
ÜRETİM;İtici yüzü POM-C 10 mm (gıda, ≤ 90 °C sürekli);1;260 × 45;Ensinger TECAFORM AH veri sayfası
