tür;kalem;toplam adet;tanım / ürün;not / kaynak
SATIN ALMA;Alüminyum profil 40 × 40 (kalıp ayağı);4;boy 997;item / Bosch Rexroth 40×40
SATIN ALMA;Ayarlı ayak Elesa+Ganter LV.A-SST · M12;4;paslanmaz · taban Ø40;elesa-ganter.com LV.A-SST
SATIN ALMA;Bilyalı somun SFU1605-4;2;flanş Ø48 · gövde Ø28 · boy 57;katalog ölçüsü
SATIN ALMA;Bilyalı somun SFU1610-4;1;flanş Ø48 · gövde Ø28 · boy 57;katalog ölçüsü
SATIN ALMA;Bilyalı vida TBI/HIWIN SFU1605;2;Ø16 · hatve 5 · boy 112 · uçları BK12/BF12 işli;SFU1605 katalog (fluxelectronix / TBI)
SATIN ALMA;Bilyalı vida TBI/HIWIN SFU1610;1;Ø16 · hatve 10 · boy 493 · uçları BK12/BF12 işli;SFU1610 katalog (fluxelectronix / TBI)
SATIN ALMA;DIN ray 35 × 7,5;2;boy 700;EN 60715
SATIN ALMA;Destek BK12 (sabit);2;60 × 43 × 32.5 · merkez yüksekliği 25;MISUMI BK/BF · fonlinearguide.com
SATIN ALMA;Endüktif sensör Omron E2E-X2D1-N;7;M8 · 2 mm · DC 2 telli;omron.com E2E · katalog ölçüsü
SATIN ALMA;Flanşlı yatak KFL001 (Ø12);6;vida uçları;katalog
SATIN ALMA;Fotosel Omron E3Z-D62;3;dağınık yansımalı · 1 m · PNP;omron.com E3Z · katalog ölçüsü
SATIN ALMA;Güç kaynağı Mean Well NDR-240-24;1;24 V 10 A · PLC + sensör;TraceParts STEP
SATIN ALMA;Güç kaynağı Mean Well NDR-240-48;2;48 V 5 A · step sürücüler;NDR-240 gövdesi (STEP 24 V ile aynı)
SATIN ALMA;Kablo kanalı 40 × 25;4;pano 2 + dikey 2;katalog
SATIN ALMA;Kaplin (kavramalı) Ø25 × 30;2;8 × 12 / 8 × 10 delik;MISUMI MCKL / Ruland · katalog
SATIN ALMA;Kasnak GT3 20 diş;5;PD 19.1 · 9 mm kayış;gates.com GT3 · katalog
SATIN ALMA;Kasnak GT3 40 diş;1;PD 38.2 · 9 mm kayış;gates.com GT3 · katalog
SATIN ALMA;Kayış GT3 9 mm;3;kapalı çevrim;gates.com
SATIN ALMA;Klemens sırası Phoenix UT 2,5;40;;phoenixcontact.com
SATIN ALMA;Kılavuz mili Ø12 h6 + lineer burç LM12UU;2;köprü;katalog
SATIN ALMA;Lineer araba HIWIN HGH15CA;10;flanşsız · 34 × 61,4 · H 28;TraceParts 90-03042020-037166
SATIN ALMA;Lineer ray HIWIN HGR15R;6;asansör · boy 990;hiwin.com
