parça (model adı);kalem;adet;tanım / ürün;not / ölçü;tür
ayak_0;Ayarlı ayak Elesa+Ganter LV.A-SST · M12;4;paslanmaz · taban Ø40;elesa-ganter.com LV.A-SST;SATIN ALMA
ayak_1;ayak 1;1;304 / S235 · lazer / torna;zarf 40.3 × 80.2 × 40.0;ÜRETİM
ayak_2;ayak 2;1;304 / S235 · lazer / torna;zarf 40.3 × 80.2 × 40.0;ÜRETİM
ayak_3;ayak 3;1;304 / S235 · lazer / torna;zarf 40.3 × 80.2 × 40.0;ÜRETİM
taban_sac_3;taban sac 3;1;304 sac · lazer + büküm;zarf 827.0 × 3.0 × 827.0;ÜRETİM
plint_on;plint on;1;304 sac · lazer + büküm;zarf 750.0 × 70.0 × 1.5;ÜRETİM
arka_sac;arka sac;1;304 sac 1,5 · lazer + büküm (dış kabuk);zarf 830.0 × 1950.0 × 1.5;ÜRETİM
ust_sac;ust sac;1;304 sac 1,5 · lazer + büküm (dış kabuk);zarf 830.0 × 1.5 × 828.5;ÜRETİM
sol_sac_pizza_penceresi;sol sac pizza penceresi;1;304 sac 1,5 · lazer + büküm (dış kabuk);zarf 1.5 × 1948.5 × 828.5;ÜRETİM
sag_sac;sag sac;1;304 sac 1,5 · lazer + büküm (dış kabuk);zarf 1.5 × 1948.5 × 828.5;ÜRETİM
sarjor_yan_kapisi;sarjor yan kapisi;1;304 sac 1,5 · lazer + büküm (dış kabuk);zarf 1.5 × 920.0 × 406.0;ÜRETİM
sarjor_yan_kapisi_kulp;sarjor yan kapisi kulp;1;304 / S235 · lazer / torna;zarf 22.0 × 120.0 × 15.0;ÜRETİM
on_alt_sac;on alt sac;1;304 sac 1,5 · lazer + büküm (dış kabuk);zarf 827.0 × 1002.0 × 1.5;ÜRETİM
on_ust_kapak;on ust kapak;1;304 sac 1,5 · lazer + büküm (dış kabuk);zarf 827.0 × 683.5 × 1.5;ÜRETİM
on_ust_kapak_kulp;on ust kapak kulp;1;304 / S235 · lazer / torna;zarf 70.0 × 18.0 × 18.0;ÜRETİM
agiz_ust_kirisi;agiz ust kirisi;1;304 / S235 · lazer / torna;zarf 827.0 × 15.0 × 20.0;ÜRETİM
kose_dikme_on_0;kose dikme on 0;1;304 / S235 · lazer / torna;zarf 20.0 × 1002.0 × 20.0;ÜRETİM
kose_dikme_on_1;kose dikme on 1;1;304 / S235 · lazer / torna;zarf 20.0 × 1002.0 × 20.0;ÜRETİM
kilavuz_sol_uhmw;UHMW-PE şerit 3 mm (şarjör kılavuzu);3;sol + sağ + arka;levha;SATIN ALMA
kilavuz_sag_uhmw;kilavuz sag uhmw;1;UHMW-PE;zarf 3.0 × 908.0 × 404.0;ÜRETİM
kilavuz_sol_tasiyici;kilavuz sol tasiyici;1;304 sac · lazer + büküm;zarf 3.0 × 908.0 × 20.0;ÜRETİM
kilavuz_sag_tasiyici;kilavuz sag tasiyici;1;304 sac · lazer + büküm;zarf 13.0 × 908.0 × 20.0;ÜRETİM
kilavuz_arka_uhmw;kilavuz arka uhmw;1;UHMW-PE;zarf 804.0 × 896.0 × 3.0;ÜRETİM
kilavuz_arka_tasiyici;kilavuz arka tasiyici;1;304 sac · lazer + büküm;zarf 724.0 × 896.0 × 6.0;ÜRETİM
sarjor_kapi_esigi;sarjor kapi esigi;1;304 sac · lazer + büküm;zarf 804.0 × 904.8 × 3.0;ÜRETİM
karton_yigini;Pizza kutusu 32 × 32 × 4,2 E-dalga (düz açılım 804 × 404);567;yığın 908 mm = 567 adet @1,6 · 504 @1,8;AmbalajPazarı · 100'lü paket (sarf);SATIN ALMA
asansor_platformu;asansor platformu;1;alüminyum 6082 · CNC;zarf 804.0 × 3.0 × 404.0;ÜRETİM
asansor_catali_0;asansor catali 0;1;304 / S235 · lazer / torna;zarf 30.0 × 8.0 × 413.0;ÜRETİM
asansor_catali_1;asansor catali 1;1;304 / S235 · lazer / torna;zarf 30.0 × 8.0 × 413.0;ÜRETİM
asansor_catali_2;asansor catali 2;1;304 / S235 · lazer / torna;zarf 30.0 × 8.0 × 413.0;ÜRETİM
asansor_arabasi;asansor arabasi;1;304 / S235 · lazer / torna;zarf 500.0 × 130.0 × 4.0;ÜRETİM
asansor_ray_plakasi;asansor ray plakasi;1;304 sac · lazer + büküm;zarf 400.0 × 990.0 × 4.0;ÜRETİM
asansor_rayi_0;Lineer ray HIWIN HGR15R;2;asansör · boy 990;hiwin.com;SATIN ALMA
asansor_arabasi_00;Lineer araba HIWIN HGH15CA;1;flanşsız · 34 × 61,4 · H 28;TraceParts 90-03042020-037166;SATIN ALMA
asansor_arabasi_01;Lineer araba HIWIN HGH15CA;1;flanşsız · 34 × 61,4 · H 28;TraceParts 90-03042020-037166;SATIN ALMA
asansor_rayi_1;Lineer ray HIWIN HGR15R;0;;aynı kalemin eşi (adet ana satırda);ALT
asansor_arabasi_10;Lineer araba HIWIN HGH15CA;1;flanşsız · 34 × 61,4 · H 28;TraceParts 90-03042020-037166;SATIN ALMA
asansor_arabasi_11;Lineer araba HIWIN HGH15CA;1;flanşsız · 34 × 61,4 · H 28;TraceParts 90-03042020-037166;SATIN ALMA
asansor_vidasi_Tr16x4;Trapez vida Tr16×4 (DIN 103) + bronz blok somun;1;boy 975 · kendinden kilitli (η≈0,35): güç kesilince yığın düşmez;katalog;SATIN ALMA
asansor_somunu;asansor somunu;1;304 / S235 · lazer / torna;zarf 30.0 × 45.1 × 26.0;ÜRETİM
asansor_alt_yatak;Flanşlı yatak KFL001 (Ø12);2;vida uçları;katalog;SATIN ALMA
asansor_ust_yatak;asansor ust yatak;1;304 / S235 · lazer / torna;zarf 40.0 × 12.1 × 32.0;ÜRETİM
asansor_kasnak_40;Kasnak GT3 40 diş;1;PD 38.2 · 9 mm kayış;gates.com GT3 · katalog;SATIN ALMA
asansor_kasnak_20;Kasnak GT3 20 diş;1;PD 19.1 · 9 mm kayış;gates.com GT3 · katalog;SATIN ALMA
asansor_kayisi;Kayış GT3 9 mm;1;kapalı çevrim;gates.com;SATIN ALMA
asansor_motoru;Step motor AutomationDirect SureStep STP-MTR-23079;1;NEMA 23 · 1,95 N·m (276 oz-in) · 2,8 A;automationdirect.com STP-MTR-23079 · TraceParts STEP;SATIN ALMA
asansor_alt_sensor;Endüktif sensör Omron E2E-X2D1-N;1;M8 · 2 mm · DC 2 telli;omron.com E2E · katalog ölçüsü;SATIN ALMA
besleyici_plakasi;Besleyici plakası 6082 · 5 mm;1;621 × 461;üretim;ÜRETİM
besleyici_plaka_askisi_0;besleyici plaka askisi 0;1;alüminyum 6082 · CNC;zarf 20.0 × 523.5 × 20.0;ÜRETİM
besleyici_rayi_0;Lineer ray HIWIN HGR15R;2;besleyici · boy 473;hiwin.com;SATIN ALMA
besleyici_arabasi_0;Lineer araba HIWIN HGH15CA;1;flanşsız · 34 × 61,4 · H 28;TraceParts 90-03042020-037166;SATIN ALMA
besleyici_plaka_askisi_1;besleyici plaka askisi 1;1;alüminyum 6082 · CNC;zarf 20.0 × 523.5 × 20.0;ÜRETİM
besleyici_rayi_1;Lineer ray HIWIN HGR15R;0;;aynı kalemin eşi (adet ana satırda);ALT
besleyici_arabasi_1;Lineer araba HIWIN HGH15CA;1;flanşsız · 34 × 61,4 · H 28;TraceParts 90-03042020-037166;SATIN ALMA
itici_araba_plakasi_sol;itici araba plakasi sol;1;alüminyum 6082 · CNC;zarf 38.0 × 6.0 × 64.0;ÜRETİM
itici_araba_plakasi_sag;itici araba plakasi sag;1;alüminyum 6082 · CNC;zarf 95.0 × 6.0 × 76.0;ÜRETİM
itici_asma_plakasi_0;itici asma plakasi 0;1;alüminyum 6082 · CNC;zarf 40.0 × 289.8 × 8.0;ÜRETİM
