"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-06022020-116693";"";
"REFERENCE";"5P650i";"";
"rs_stock_number";"8239385";"";
"TraceParts.PartTitle";"Eaton 650VA Tower UPS Uninterruptible Power Supply, 230V Output, 420W";"";
"SUPPLIER_NAME";"RS Components";"";
"Buy_Now";"https://uk.rs-online.com/web/p/products/8239385?cm_mmc=en-ds-_-mcad-_-traceparts-_-8239385'";"";
"SUPPLIER";"Eaton";"";
"DESIGN";"Eaton 650VA Tower UPS Uninterruptible Power Supply, 230V Output, 420W";"";
"TraceParts.InstanceId";"10-06022020-116693BCUE653DI05U6MAEFGY5MWXSV";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartVersion";"1.0.5";"";
