"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"33-26062023-065592";"";
"REFERENCE";"NDR-240-24";"";
"TraceParts.PartVersion";"1.0.3";"";
"TraceParts.InstanceId";"33-26062023-0655922G9XMXVN28XLJM8YCR6BV9C8F";"";
"VOLTAGE";"24V";"";
"TraceParts.PartTitle";"AC/DC DIN Rail Power Supply - 240W Single Output Industrial DIN Rail Power Supply, NDR-240 series";"";
"SUPPLIER";"MEAN WELL";"";
"DESIGN";"AC/DC DIN Rail Power Supply, 240W Single Output Industrial DIN Rail Power Supply - NDR-240-24";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"POWER";"240W";"";
