"Symbol";"Value";"Unit";
"SUPPLIER_NAME";"AutomationDirect";"";
"TraceParts.PartVersion";"1.0.9";"";
"TraceParts.PartStatus";"Published";"";
"TraceParts.PartNumber";"90-18072019-047862";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"SureGear precision planetary gearbox, 10:1 ratio, inline, 0.375in diameter output shaft, nominal output torque 5 N-m (44 lb-in), 1-stage, NEMA 23 frame. For use with SureStep NEMA 23 motors.";"";
"TraceParts.InstanceId";"90-18072019-04786278P2ST6ENTHNY6M228NL8S6AD";"";
"TraceParts.PartTitle";"SureGear precision planetary gearbox, 10:1 ratio, inline, 0.375in diameter output shaft, nominal output torque 5 N-m (44 lb-in), 1-stage, NEMA 23 frame. For use with SureStep NEMA 23 motors.";"";
"TraceParts.PartStatusId";"";"";
"TRACEPARTS";"TRACEPARTS";"";
"Part_Number_EShop_URL";"http://www.adcpn.com/pn/PGCN23-1025";"";
"TraceParts.ClassPath";"/F_AUTOMATION_DIRECT/AUTOMATION_DIRECT.755373/";"";
"SUPPLIER_PART_NUMBER";"PGCN23-1025";"";
