"Symbol";"Value";"Unit";
"SUPPLIER_NAME";"AutomationDirect";"";
"TraceParts.PartVersion";"1.0.9";"";
"TraceParts.PartStatus";"Published";"";
"TraceParts.PartNumber";"90-17012020-010651";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"SureStep stepper motor, NEMA 23 frame, IP40, single shaft, 0.71A, 227 oz-in holding torque, 1.8-degree step angle, 200 steps per revolution, bipolar.";"";
"TraceParts.InstanceId";"90-17012020-01065178P2ST6ENTHNY6M228NL8S6AD";"";
"TraceParts.PartTitle";"SureStep stepper motor, NEMA 23 frame, IP40, single shaft, 0.71A, 227 oz-in holding torque, 1.8-degree step angle, 200 steps per revolution, bipolar.";"";
"TraceParts.PartStatusId";"";"";
"TRACEPARTS";"TRACEPARTS";"";
"Part_Number_EShop_URL";"http://www.adcpn.com/pn/STP-MTRAC-23078";"";
"TraceParts.ClassPath";"/F_AUTOMATION_DIRECT/AUTOMATION_DIRECT.730581/";"";
"SUPPLIER_PART_NUMBER";"STP-MTRAC-23078";"";
