"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-07062019-120133";"";
"REFERENCE";"UB10.242";"";
"rs_stock_number";"7531968";"";
"TraceParts.PartTitle";"PULS DIN Rail UPS Uninterruptible Power Supply, 22.25V Output";"";
"SUPPLIER_NAME";"RS Components";"";
"Buy_Now";"https://uk.rs-online.com/web/p/products/7531968?cm_mmc=en-ds-_-mcad-_-traceparts-_-7531968'";"";
"SUPPLIER";"Puls";"";
"DESIGN";"PULS DIN Rail UPS Uninterruptible Power Supply, 22.25V Output";"";
"TraceParts.InstanceId";"10-07062019-1201333GT2IFZDW492Q6AS7I75K1CKZ";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartVersion";"1.0.6";"";
