"Symbol";"Value";"Unit";
"SUPPLIER_NAME";"RS Components";"";
"TraceParts.PartVersion";"1.1.0";"";
"SUPPLIER";"ebm-papst";"";
"TraceParts.PartStatus";"Published";"";
"TraceParts.PartNumber";"10-09122014-120216";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"ebm-papst, 230 V ac, AC Axial Fan, 225 x 225 x 80mm, 935m³/h, 64W";"";
"TraceParts.InstanceId";"10-09122014-120216JSZDM3J9H3YHFFFJC7YV2TGS";"";
"TraceParts.PartTitle";"ebm-papst, 230 V ac, AC Axial Fan, 225 x 225 x 80mm, 935m³/h, 64W";"";
"REFERENCE";"W2E200-HH38-01";"";
"Buy_Now";"https://uk.rs-online.com/web/p/products/2183040?cm_mmc=en-ds-_-mcad-_-traceparts-_-2183040'";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartStatusId";"";"";
"rs_stock_number";"2183040";"";
"TraceParts.ClassPath";"RS_COMPONENTS:10-09122014-120216";"";
