"Symbol";"Value";"Unit";
"REFERENCE";"XU080149";"";
"TraceParts.PartVersion";"1.0.4";"";
"SUPPLIER";"Schaeffler Technologies AG & Co. KG";"";
"TraceParts.PartStatus";"Published";"";
"TraceParts.PartNumber";"33-09042019-080787";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"Slewing rings";"";
"TraceParts.InstanceId";"33-09042019-08078725KKILKULU4USHBR9WN3HASD6";"";
"TraceParts.PartTitle";"Crossed roller bearings XU, without gear teeth, lip seals on both sides";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartStatusId";"";"";
"SELECTION";"XU080149";"";
"TraceParts.ClassPath";"INAFAG:33-09042019-080787";"";
